date,weekdays,sleep_starts,sleep_ends,sleep_duration_min,light_sleep_min,rem_sleep_min,deep_sleep_min,readiness,sleep_score,activity_score,steps
3/17/20,Tuesday,11:11:00 PM,7:17:00 AM,400,224,82,93,80,73,81,8078
3/18/20,Wednesday,11:16:00 PM,7:28:00 AM,436,255,86,94,83,82,81,9565
3/19/20,Thursday,12:36:00 AM,7:12:00 AM,363,211,67,85,75,69,96,14866
3/20/20,Friday,10:22:00 PM,9:52:00 AM,559,363,141,54,77,75,97,15979
3/21/20,Saturday,11:58:00 PM,9:40:00 AM,503,322,127,53,76,81,89,7883
3/23/20,Monday,10:54:00 PM,5:54:00 AM,377,201,81,95,82,76,77,9043
3/24/20,Tuesday,11:00:00 PM,7:10:00 AM,421,228,81,112,84,80,79,6706
3/25/20,Wednesday,12:23:00 AM,6:51:00 AM,299,163,80,56,74,63,82,9376
3/27/20,Friday,9:14:00 PM,7:04:00 AM,513,309,138,66,71,88,60,8725
3/28/20,Saturday,1:10:00 AM,9:30:00 AM,418,233,116,68,76,69,78,10957
3/29/20,Sunday,12:56:00 AM,8:52:00 AM,403,250,84,69,80,68,81,11747
3/30/20,Monday,11:35:00 PM,6:15:00 AM,355,178,63,113,70,74,83,12977
3/31/20,Tuesday,10:47:00 PM,7:08:00 AM,465,279,97,88,75,84,86,8390
4/1/20,Wednesday,10:35:00 PM,6:46:00 AM,436,261,93,81,79,81,84,9622
4/2/20,Thursday,11:22:00 PM,6:06:00 AM,356,206,92,57,73,74,87,7334
4/3/20,Friday,11:31:00 PM,7:36:00 AM,382,204,99,78,73,72,88,8463
4/4/20,Saturday,10:46:00 PM,11:44:00 AM,626,443,141,42,74,75,94,8451
4/5/20,Sunday,11:51:00 PM,7:59:00 AM,411,268,85,58,65,66,90,10225
4/6/20,Monday,11:24:00 PM,6:37:00 AM,388,262,77,49,61,63,90,9881
4/7/20,Tuesday,10:42:00 PM,6:43:00 AM,415,275,84,56,73,75,93,10703
4/8/20,Wednesday,10:16:00 PM,7:02:00 AM,457,272,104,80,69,82,93,9434
4/9/20,Thursday,11:40:00 PM,6:37:00 AM,358,247,78,33,70,65,94,8835
4/10/20,Friday,10:19:00 PM,7:54:00 AM,481,276,107,97,83,81,97,8889
4/12/20,Sunday,10:41:00 PM,7:34:00 AM,485,242,112,131,91,89,92,9332
4/13/20,Monday,11:07:00 PM,6:28:00 AM,384,207,82,95,86,75,89,13366
4/14/20,Tuesday,11:05:00 PM,6:57:00 AM,353,205,80,67,71,70,84,9055
4/15/20,Wednesday,10:27:00 PM,6:27:00 AM,406,239,98,69,83,75,83,7813
4/16/20,Thursday,6:26:00 PM,6:46:00 AM,601,298,178,125,94,92,90,14102
4/17/20,Friday,9:14:00 PM,7:42:00 AM,551,361,128,62,89,89,85,8517
4/18/20,Saturday,11:48:00 PM,6:38:00 AM,345,215,50,80,79,67,87,11456
4/19/20,Sunday,11:12:00 PM,8:58:00 AM,519,538,123,69,92,84,89,10464
4/20/20,Monday,10:40:00 PM,6:55:00 AM,388,203,92,92,80,75,79,9236
4/21/20,Tuesday,10:10:00 PM,7:07:00 AM,425,260,110,55,81,76,80,8443
4/22/20,Wednesday,10:09:00 PM,6:52:00 AM,449,228,115,106,85,82,80,6458
4/23/20,Thursday,10:47:00 PM,6:17:00 AM,389,262,72,54,78,71,75,9372
4/24/20,Friday,10:48:00 PM,4:48:00 AM,444,254,118,72,85,81,74,8417
4/25/20,Saturday,12:41:00 AM,9:12:00 AM,466,284,119,61,69,76,81,15253
4/26/20,Sunday,10:23:00 PM,9:31:00 AM,608,372,148,87,83,88,83,11145
4/27/20,Monday,11:05:00 PM,6:22:00 AM,350,191,75,84,77,66,84,7678
4/28/20,Tuesday,11:07:00 PM,7:12:00 AM,409,243,92,74,80,73,81,9438
4/30/20,Thursday,11:26:00 PM,7:23:00 AM,416,224,93,98,82,81,94,13036
5/1/20,Friday,10:28:00 PM,7:28:00 AM,484,252,146,85,81,88,95,11035
5/2/20,Saturday,12:53:00 AM,8:15:00 AM,401,226,92,83,78,71,95,9422
5/3/20,Sunday,10:08:00 PM,10:03:00 AM,637,373,149,114,92,90,92,11185
5/4/20,Monday,10:59:00 PM,9:01:00 AM,532,342,126,64,90,86,86,10861
5/5/20,Tuesday,12:01:00 AM,5:59:00 AM,312,226,44,52,71,61,89,7989
5/6/20,Wednesday,9:38:00 PM,5:31:00 AM,428,297,77,53,86,74,80,10258
5/7/20,Thursday,9:44:00 PM,5:39:00 AM,425,286,81,58,81,77,75,9804
5/9/20,Saturday,12:59:00 AM,6:38:00 AM,477,270,119,88,87,86,74,12076
5/10/20,Sunday,12:51:00 AM,6:39:00 AM,293,189,48,56,51,59,80,8559
5/11/20,Monday,9:21:00 PM,5:39:00 AM,445,210,106,128,77,83,79,8662
5/12/20,Tuesday,9:38:00 PM,5:46:00 AM,441,250,93,97,85,81,80,9629
5/14/20,Thursday,9:49:00 PM,6:03:00 AM,446,237,111,98,85,83,81,6361
5/15/20,Friday,10:09:00 PM,7:28:00 AM,507,285,133,88,89,89,77,9388
5/16/20,Saturday,9:46:00 PM,7:04:00 AM,490,294,108,87,91,86,77,12507
5/17/20,Sunday,9:36:00 PM,8:21:00 AM,585,356,149,80,88,92,73,11986
5/18/20,Monday,10:15:00 PM,6:53:00 AM,462,296,103,63,84,82,66,6598
5/19/20,Tuesday,9:47:00 PM,5:33:00 AM,413,230,86,97,88,81,66,3988
5/20/20,Wednesday,11:00:00 PM,7:00:00 AM,422,267,74,80,87,78,66,7453
5/21/20,Thursday,9:49:00 PM,5:47:00 AM,423,262,61,99,90,78,69,9732
5/22/20,Friday,10:11:00 PM,7:49:00 AM,513,304,119,90,89,85,68,3670
5/24/20,Sunday,10:41:00 PM,8:58:00 AM,540,355,133,52,71,87,85,18539
5/25/20,Monday,10:03:00 PM,7:38:00 AM,483,331,92,60,81,81,80,7908
5/26/20,Tuesday,10:06:00 PM,5:50:00 AM,407,219,76,111,91,80,78,6939
5/27/20,Wednesday,10:08:00 PM,6:04:00 AM,430,298,78,54,85,76,77,7920
5/28/20,Thursday,10:02:00 PM,7:44:00 AM,530,136,136,71,89,87,81,9492
5/29/20,Friday,10:19:00 PM,5:45:00 AM,386,202,87,96,78,77,80,10445
5/30/20,Saturday,10:32:00 PM,7:31:00 AM,475,275,103,97,74,85,81,4321
5/31/20,Sunday,10:12:00 PM,7:01:00 AM,433,261,107,65,87,76,77,12161
6/1/20,Monday,9:48:00 PM,6:09:00 AM,430,264,94,71,82,77,75,7684
6/2/20,Tuesday,9:48:00 PM,5:44:00 AM,444,261,108,74,88,83,73,9262
6/3/20,Wednesday,9:39:00 PM,7:20:00 AM,507,317,138,61,90,86,83,14579
6/4/20,Thursday,9:35:00 PM,5:31:00 AM,421,197,113,110,74,84,79,7298
6/5/20,Friday,9:27:00 PM,5:30:00 AM,451,256,120,74,89,83,74,9497
6/6/20,Saturday,9:59:00 PM,6:16:00 AM,430,262,99,68,83,78,79,13232
6/7/20,Sunday,10:14:00 PM,7:24:00 AM,459,252,78,128,86,80,84,15642
6/8/20,Monday,9:53:00 PM,5:36:00 AM,405,234,89,82,76,73,84,5343
6/9/20,Tuesday,9:30:00 PM,5:41:00 AM,432,284,72,76,82,79,89,10726
6/10/20,Wednesday,9:07:00 PM,5:33:00 AM,448,288,86,74,82,79,85,7469
6/11/20,Thursday,9:09:00 PM,5:45:00 AM,440,248,122,70,85,80,84,7714
6/12/20,Friday,9:43:00 PM,5:58:00 AM,450,221,118,110,89,87,86,9546
6/13/20,Saturday,10:58:00 PM,8:13:00 AM,456,273,174,9,70,75,82,8461
6/15/20,Monday,10:36:00 PM,7:21:00 AM,463,262,108,92,90,85,76,7028
6/16/20,Tuesday,9:41:00 PM,5:50:00 AM,436,317,66,53,83,73,64,4642
6/17/20,Wednesday,9:42:00 PM,5:51:00 AM,436,246,99,91,87,80,73,11056
6/18/20,Thursday,10:31:00 PM,7:32:00 AM,462,269,101,92,78,85,83,10706
6/19/20,Friday,9:09:00 PM,5:41:00 AM,442,301,94,46,78,79,80,10253
6/20/20,Saturday,10:22:00 PM,7:19:00 AM,469,320,79,69,86,79,78,8843
6/21/20,Sunday,10:50:00 PM,8:15:00 AM,470,268,87,114,90,83,81,10661
6/22/20,Monday,10:11:00 PM,5:55:00 AM,386,221,68,96,84,74,80,9041
6/23/20,Tuesday,10:08:00 PM,5:56:00 AM,401,226,59,116,84,77,84,8288
6/24/20,Wednesday,11:36:00 PM,5:58:00 AM,292,214,35,42,64,57,81,6977
6/25/20,Thursday,9:55:00 PM,7:22:00 AM,469,301,90,78,83,82,84,6539
6/26/20,Friday,9:00:00 PM,5:37:00 AM,471,310,105,55,73,84,75,3426
6/27/20,Saturday,10:08:00 PM,8:14:00 AM,531,315,134,82,84,89,80,9654
6/28/20,Sunday,9:39:00 PM,8:28:00 AM,549,331,118,99,93,90,83,12369
6/29/20,Monday,10:11:00 PM,6:02:00 AM,418,271,88,58,86,75,79,8127
6/30/20,Tuesday,9:06:00 PM,5:12:00 AM,427,237,104,85,87,82,73,6224
7/1/20,Wednesday,9:36:00 PM,6:16:00 AM,421,238,83,100,88,78,73,9791
7/2/20,Thursday,9:31:00 PM,6:12:00 AM,454,298,87,69,86,79,76,11798
7/3/20,Friday,10:49:00 PM,7:32:00 AM,452,258,103,90,86,83,77,9862
7/4/20,Saturday,11:15:00 PM,8:16:00 AM,442,258,96,87,87,79,77,6302
7/5/20,Sunday,12:09:00 AM,8:35:00 AM,409,215,99,94,84,73,77,5499
7/6/20,Monday,10:25:00 PM,5:52:00 AM,402,205,72,124,86,78,74,3395
7/7/20,Tuesday,10:09:00 PM,5:47:00 AM,384,243,84,56,79,72,69,7854
7/9/20,Thursday,10:16:00 PM,6:04:00 AM,398,222,61,114,84,73,54,8144
7/10/20,Friday,10:17:00 PM,7:25:00 AM,483,321,106,55,80,80,74,20620
7/11/20,Saturday,9:44:00 PM,7:10:00 AM,505,313,109,83,80,90,72,9632
7/12/20,Sunday,10:37:00 PM,8:14:00 AM,508,333,113,62,88,83,76,11840
7/13/20,Monday,9:45:00 PM,6:16:00 AM,437,267,90,79,86,80,74,8750
7/14/20,Tuesday,9:45:00 PM,6:03:00 AM,440,240,79,121,88,82,74,6868
7/15/20,Wednesday,9:59:00 PM,6:14:00 AM,449,267,91,90,90,82,79,7617
7/16/20,Thursday,10:41:00 PM,5:56:00 AM,376,193,72,110,83,75,80,9849
7/17/20,Friday,9:19:00 PM,6:00:00 AM,465,254,106,105,91,88,74,9219
7/18/20,Saturday,10:50:00 PM,6:39:00 AM,400,246,76,78,81,75,82,12470
7/19/20,Sunday,10:22:00 PM,9:00:00 AM,525,299,116,110,92,90,89,14455
7/20/20,Monday,9:57:00 PM,6:06:00 AM,408,309,87,12,76,68,83,10757
7/21/20,Tuesday,10:20:00 PM,6:13:00 AM,371,246,74,50,75,67,88,8274
7/22/20,Wednesday,9:52:00 PM,6:13:00 AM,435,249,87,99,84,81,90,7462
7/23/20,Thursday,10:03:00 PM,5:36:00 AM,391,221,84,85,79,76,86,8341
7/24/20,Friday,9:55:00 PM,6:19:00 AM,441,279,108,54,79,79,97,28120
7/25/20,Saturday,10:54:00 PM,7:46:00 AM,454,304,110,40,55,78,95,6449
7/26/20,Sunday,10:46:00 PM,8:08:00 AM,477,274,121,81,75,81,94,12154
7/27/20,Monday,10:09:00 PM,6:02:00 AM,412,258,83,70,76,78,84,6342
7/28/20,Tuesday,10:06:00 PM,7:52:00 AM,505,285,124,96,87,86,84,8157
7/29/20,Wednesday,9:43:00 PM,5:39:00 AM,424,291,57,76,80,75,84,7000
7/30/20,Thursday,9:42:00 PM,6:07:00 AM,447,273,100,73,82,80,83,7869
7/31/20,Friday,10:33:00 PM,6:06:00 AM,393,247,71,74,80,74,70,8836
8/3/20,Monday,10:32:00 PM,6:10:00 AM,406,258,72,75,78,75,68,9729
8/4/20,Tuesday,9:48:00 PM,6:12:00 AM,439,275,83,81,77,79,66,7819
8/5/20,Wednesday,10:26:00 PM,6:22:00 AM,411,249,79,82,84,78,68,10238
8/6/20,Thursday,9:18:00 PM,5:45:00 AM,444,256,110,78,85,83,63,9419
8/7/20,Friday,9:49:00 PM,6:05:00 AM,451,321,114,16,79,75,73,10239
8/8/20,Saturday,10:28:00 PM,7:00:00 AM,459,291,119,48,60,81,80,8257
8/9/20,Sunday,9:10:00 PM,7:30:00 AM,558,274,177,106,91,94,79,11096
8/10/20,Monday,10:17:00 PM,6:08:00 AM,433,230,107,95,87,82,77,7734
8/11/20,Tuesday,10:15:00 PM,6:06:00 AM,441,266,82,93,85,80,77,6228
8/12/20,Wednesday,10:08:00 PM,7:18:00 AM,476,274,106,96,89,87,76,6840
8/14/20,Friday,9:14:00 PM,6:16:00 AM,496,322,93,81,90,84,79,24261
8/15/20,Saturday,11:01:00 PM,7:11:00 AM,422,317,76,28,62,69,82,12594
8/16/20,Sunday,10:44:00 PM,7:43:00 AM,472,270,107,94,83,85,80,8997
8/17/20,Monday,10:07:00 PM,6:11:00 AM,429,286,64,78,86,80,78,4891
8/18/20,Tuesday,10:03:00 PM,6:09:00 AM,420,303,84,32,75,69,78,9239
8/19/20,Wednesday,10:08:00 PM,6:34:00 AM,434,280,88,66,86,78,79,9497
8/20/20,Thursday,9:18:00 PM,6:20:00 AM,493,279,101,113,92,89,80,8918
8/21/20,Friday,9:44:00 PM,6:15:00 AM,434,249,87,97,87,77,72,9029
8/22/20,Saturday,10:45:00 PM,7:12:00 AM,448,270,96,82,88,79,76,16018
8/23/20,Sunday,9:46:00 PM,7:19:00 AM,498,307,104,86,81,88,85,12608
8/24/20,Monday,9:20:00 PM,6:10:00 AM,431,264,76,91,85,79,81,11360
8/25/20,Tuesday,9:52:00 PM,6:01:00 AM,423,317,60,45,80,72,82,8554
8/26/20,Wednesday,9:17:00 PM,6:10:00 AM,435,253,84,98,83,73,78,7806
8/27/20,Thursday,9:48:00 PM,7:19:00 AM,502,319,91,91,90,86,80,2594
8/28/20,Friday,10:00:00 PM,6:23:00 AM,455,253,101,100,89,86,83,9460
8/29/20,Saturday,10:07:00 PM,6:53:00 AM,445,291,92,61,83,77,81,1299
8/30/20,Sunday,8:51:00 PM,7:47:00 AM,507,313,124,69,83,75,77,8014
8/31/20,Monday,8:49:00 PM,6:01:00 AM,504,303,107,93,90,90,69,7800
9/1/20,Tuesday,9:18:00 PM,6:01:00 AM,452,272,100,80,91,82,66,8539
